"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:50-OS:3-H:2-G:C10-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","kiwbzseq","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","0","0.017262261360883713","4.918085199563623","0.025335095822811127"
"S:50-OS:3-H:2-G:C10-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","5cwxn1ei","NoiseSensitivity2","E-DAE","C10","2","1","1","50","3","8","0.6690145134925842","4.918085199563623","1.0101763010025024"
"S:50-OS:3-H:2-G:C10-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ig59ymkr","NoiseSensitivity2","E-DAE","C10","3","1","1","50","3","6","0.4984093308448791","4.918085199563623","0.7221479415893555"
"S:50-OS:3-H:2-G:C10-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","05kt3hw7","NoiseSensitivity2","E-DAE","C10","2","1","1","50","3","0","0.022550620138645172","4.918085199563623","0.03845653310418129"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","a3z06z4k","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","2","0.1737080216407776","4.918085199563623","0.2597653567790985"
"S:50-OS:3-H:2-G:C10-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","8109n149","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","6","0.5038775205612183","4.918085199563623","0.7333130836486816"
"S:50-OS:3-H:2-G:C10-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","5qb2ft2p","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","8","0.6608684062957764","4.918085199563623","0.9748418927192688"
"S:50-OS:3-H:2-G:C10-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ouz0178i","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","0","0.0181746743619442","4.918085199563623","0.026491783559322357"
"S:50-OS:3-H:2-G:C10-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","hdsjpwo3","NoiseSensitivity2","E-DAE","C10","0","1","1","50","3","0","0.01937396451830864","4.918085199563623","0.029375595971941948"
"S:50-OS:3-H:2-G:C10-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","c9mkq724","NoiseSensitivity2","E-DAE","C10","1","1","1","50","3","6","0.503486692905426","4.918085199563623","0.7284542918205261"
